number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i3-4160T,4,i3,Discontinued,2,3.10 GHz,3.10 GHz,35.0,yes,3,2014
i3-4160,4,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,yes,3,2014
i3-4360,4,i3,Launched,2,3.70 GHz,3.70 GHz,54.0,yes,4,2014
i3-4350T,4,i3,Launched,2,3.10 GHz,3.10 GHz,35.0,yes,4,2014
i3-4350,4,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,yes,4,2014
i3-4150T,4,i3,Discontinued,2,3.00 GHz,3.00 GHz,35.0,yes,3,2014
i3-4150,4,i3,Discontinued,2,3.50 GHz,3.50 GHz,54.0,yes,3,2014
i3-4340TE,4,i3,Launched,2,2.60 GHz,2.60 GHz,35.0,yes,4,2014
i3-4025U,4,i3,Discontinued,2,1.90 GHz,1.90 GHz,15.0,yes,3,2014
i3-4030Y,4,i3,Discontinued,2,1.60 GHz,1.60 GHz,11.5,yes,3,2014
i3-4030U,4,i3,Discontinued,2,1.90 GHz,1.90 GHz,15.0,yes,3,2014
i3-4120U,4,i3,Discontinued,2,2.00 GHz,2.00 GHz,15.0,no,3,2014
i3-4112E,4,i3,Launched,2,1.80 GHz,1.80 GHz,25.0,yes,3,2014
i3-4110E,4,i3,Launched,2,2.60 GHz,2.60 GHz,37.0,yes,3,2014
i3-4110M,4,i3,Discontinued,2,2.60 GHz,2.60 GHz,37.0,yes,3,2014
i3-4130T,4,i3,Discontinued,2,2.90 GHz,2.90 GHz,35.0,yes,3,2013
i3-4130,4,i3,Discontinued,2,3.40 GHz,3.40 GHz,54.0,yes,3,2013
i3-4020Y,4,i3,Discontinued,2,1.50 GHz,1.50 GHz,11.5,yes,3,2013
i3-4012Y,4,i3,Discontinued,2,1.50 GHz,1.50 GHz,11.5,yes,3,2013
i3-4100M,4,i3,Discontinued,2,2.50 GHz,2.50 GHz,37.0,yes,3,2013
i3-4102E,4,i3,Launched,2,1.60 GHz,1.60 GHz,25.0,yes,3,2013
i3-4100E,4,i3,Launched,2,2.40 GHz,2.40 GHz,37.0,yes,3,2013
i3-4000M,4,i3,Discontinued,2,2.40 GHz,2.40 GHz,37.0,yes,3,2013
i3-4005U,4,i3,Discontinued,2,1.70 GHz,1.70 GHz,15.0,yes,3,2013
i3-4330TE,4,i3,Launched,2,2.40 GHz,2.40 GHz,35.0,yes,4,2013
i3-4340,4,i3,Discontinued,2,3.60 GHz,3.60 GHz,54.0,yes,4,2013
i3-4330T,4,i3,Discontinued,2,3.00 GHz,3.00 GHz,35.0,yes,4,2013
i3-4330,4,i3,Launched,2,3.50 GHz,3.50 GHz,54.0,yes,4,2013
i3-4010U,4,i3,Launched,2,1.70 GHz,1.70 GHz,15.0,yes,3,2013
i3-4158U,4,i3,Discontinued,2,2.00 GHz,2.00 GHz,28.0,yes,3,2013
i3-4010Y,4,i3,Discontinued,2,1.30 GHz,1.30 GHz,11.5,yes,3,2013
i3-4100U,4,i3,Discontinued,2,1.80 GHz,1.80 GHz,15.0,yes,3,2013
i5-13500H,13,i5,Launched,12,3.50 GHz,3.50 GHz,45.0,yes,18,2023
i5-1345UE,13,i5,Launched,10,1.40 GHz,1.40 GHz,15.0,yes,12,2023
i5-1334U,13,i5,Launched,10,3.40 GHz,3.40 GHz,15.0,yes,12,2023
i5-1335UE,13,i5,Launched,10,1.30 GHz,1.30 GHz,15.0,yes,12,2023
i5-13420H,13,i5,Launched,8,3.40 GHz,3.40 GHz,45.0,yes,12,2023
i5-1340PE,13,i5,Launched,12,1.80 GHz,1.80 GHz,28.0,yes,12,2023
i5-13500HX,13,i5,Launched,14,3.50 GHz,3.50 GHz,55.0,yes,24,2023
i5-13600HX,13,i5,Launched,14,3.60 GHz,3.60 GHz,55.0,yes,24,2023
i5-1335U,13,i5,Launched,10,3.40 GHz,3.40 GHz,15.0,yes,12,2023
i5-13600HE,13,i5,Launched,12,2.70 GHz,2.70 GHz,45.0,yes,18,2023
i5-13400E,13,i5,Launched,10,2.40 GHz,2.40 GHz,65.0,yes,20,2023
i5-13500H,13,i5,Launched,12,3.50 GHz,3.50 GHz,45.0,yes,18,2023
i5-13600H,13,i5,Launched,12,3.60 GHz,3.60 GHz,45.0,yes,18,2023
i5-13500E,13,i5,Launched,14,2.40 GHz,2.40 GHz,65.0,yes,24,2023
i5-1350PE,13,i5,Launched,12,1.80 GHz,1.80 GHz,28.0,yes,12,2023
i5-13450HX,13,i5,Launched,10,3.40 GHz,3.40 GHz,55.0,yes,20,2023
i5-1345U,13,i5,Launched,10,3.50 GHz,3.50 GHz,15.0,yes,12,2023
i5-1340P,13,i5,Launched,12,3.40 GHz,3.40 GHz,28.0,yes,12,2023
i5-13500TE,13,i5,Launched,14,1.30 GHz,1.30 GHz,35.0,yes,24,2023
i5-13505H,13,i5,Launched,12,3.50 GHz,3.50 GHz,45.0,yes,18,2023
i5-1350P,13,i5,Launched,12,3.50 GHz,3.50 GHz,28.0,yes,12,2023
i5-13500,13,i5,Launched,14,3.50 GHz,3.50 GHz,65.0,yes,24,2023
i5-13500T,13,i5,Launched,14,3.20 GHz,3.20 GHz,35.0,yes,24,2023
i5-13400T,13,i5,Launched,10,3.00 GHz,3.00 GHz,35.0,yes,20,2023
i5-13600,13,i5,Launched,14,3.70 GHz,3.70 GHz,65.0,yes,24,2023
i5-13600T,13,i5,Launched,14,3.40 GHz,3.40 GHz,35.0,yes,24,2023
i5-13400F,13,i5,Launched,10,3.30 GHz,3.30 GHz,65.0,yes,20,2023
i5-13400,13,i5,Launched,10,3.30 GHz,3.30 GHz,65.0,yes,20,2023
i5-13600KF,13,i5,Launched,14,3.90 GHz,3.90 GHz,125.0,yes,24,2022
i5-13600K,13,i5,Launched,14,3.90 GHz,3.90 GHz,125.0,yes,24,2022
i5-12600HL,12,i5,Launched,12,2.70 GHz,2.70 GHz,45.0,yes,18,2022
i5-12500HL,12,i5,Launched,12,2.50 GHz,2.50 GHz,45.0,yes,18,2022
i5-1245UL,12,i5,Launched,10,1.60 GHz,1.60 GHz,15.0,yes,12,2022
i5-1235UL,12,i5,Launched,10,1.30 GHz,1.30 GHz,15.0,yes,12,2022
i5-12450HX,12,i5,Launched,8,3.10 GHz,3.10 GHz,55.0,yes,12,2022
i5-12600HX,12,i5,Launched,12,3.30 GHz,3.30 GHz,55.0,yes,18,2022
i5-1245UE,12,i5,Launched,10,3.30 GHz,3.30 GHz,15.0,yes,12,2022
i5-1250PE,12,i5,Launched,12,3.20 GHz,3.20 GHz,28.0,yes,12,2022
i5-1250P,12,i5,Launched,12,3.30 GHz,3.30 GHz,28.0,yes,12,2022
i5-1230U,12,i5,Launched,10,3.30 GHz,3.30 GHz,9.0,yes,12,2022
i5-1240U,12,i5,Launched,10,3.30 GHz,3.30 GHz,9.0,yes,12,2022
i5-1235U,12,i5,Launched,10,3.30 GHz,3.30 GHz,15.0,yes,12,2022
i5-1235U,12,i5,Launched,10,3.30 GHz,3.30 GHz,15.0,yes,12,2022
i5-1245U,12,i5,Launched,10,3.30 GHz,3.30 GHz,15.0,yes,12,2022
i5-1240P,12,i5,Launched,12,3.30 GHz,3.30 GHz,28.0,yes,12,2022
i5-12400F,12,i5,Launched,6,2.50 GHz,2.50 GHz,65.0,yes,18,2022
i5-12400,12,i5,Launched,6,2.50 GHz,2.50 GHz,65.0,yes,18,2022
i5-12450H,12,i5,Launched,8,3.30 GHz,3.30 GHz,45.0,yes,12,2022
i5-12400T,12,i5,Launched,6,1.80 GHz,1.80 GHz,35.0,yes,18,2022
i5-12500,12,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,yes,18,2022
i5-12500E,12,i5,Launched,6,2.90 GHz,2.90 GHz,65.0,yes,18,2022
i5-12500TE,12,i5,Launched,6,1.90 GHz,1.90 GHz,35.0,yes,18,2022
i5-12500H,12,i5,Launched,12,3.30 GHz,3.30 GHz,45.0,yes,18,2022
i5-12500T,12,i5,Launched,6,2.00 GHz,2.00 GHz,35.0,yes,18,2022
i5-12600T,12,i5,Launched,6,2.10 GHz,2.10 GHz,35.0,yes,18,2022
i5-12600H,12,i5,Launched,12,3.30 GHz,3.30 GHz,45.0,yes,18,2022
i5-12600HE,12,i5,Launched,12,4.50 GHz,4.50 GHz,45.0,yes,18,2022
i5-12600,12,i5,Launched,6,3.30 GHz,3.30 GHz,65.0,yes,18,2022
i5-12600KF,12,i5,Launched,10,3.60 GHz,3.60 GHz,125.0,yes,20,2021
i5-12600K,12,i5,Launched,10,3.60 GHz,3.60 GHz,125.0,yes,20,2021
i5-11500HE,11,i5,Launched,6,2.60 GHz,2.60 GHz,45.0,yes,12,2021
i5-11320H,11,i5,Launched,4,3.20 GHz,3.20 GHz,35.0,yes,8,2021
i5-1155G7,11,i5,Launched,4,2.50 GHz,2.50 GHz,28.0,yes,8,2021
i5-1155G7,11,i5,Launched,4,2.50 GHz,2.50 GHz,28.0,yes,8,2021
i5-11260H,11,i5,Launched,6,2.60 GHz,2.60 GHz,45.0,yes,12,2021
i5-11400H,11,i5,Launched,6,2.70 GHz,2.70 GHz,45.0,yes,12,2021
i5-11500H,11,i5,Launched,6,2.90 GHz,2.90 GHz,45.0,yes,12,2021
i5-11500,11,i5,Launched,6,2.70 GHz,2.70 GHz,65.0,yes,12,2021
i5-11600T,11,i5,Launched,6,1.70 GHz,1.70 GHz,35.0,yes,12,2021
i5-11600KF,11,i5,Launched,6,3.90 GHz,3.90 GHz,125.0,yes,12,2021
i5-11600K,11,i5,Launched,6,3.90 GHz,3.90 GHz,125.0,yes,12,2021
i5-11600,11,i5,Launched,6,2.80 GHz,2.80 GHz,65.0,yes,12,2021
i5-11400T,11,i5,Launched,6,1.30 GHz,1.30 GHz,35.0,yes,12,2021
i5-11500T,11,i5,Launched,6,1.50 GHz,1.50 GHz,35.0,yes,12,2021
i5-11400F,11,i5,Launched,6,2.60 GHz,2.60 GHz,65.0,yes,12,2021
i5-11400,11,i5,Launched,6,2.60 GHz,2.60 GHz,65.0,yes,12,2021
i5-1140G7,11,i5,Launched,4,1.80 GHz,1.80 GHz,15.0,yes,8,2021
i5-1145G7,11,i5,Launched,4,2.60 GHz,2.60 GHz,28.0,yes,8,2021
i5-11300H,11,i5,Launched,4,3.10 GHz,3.10 GHz,35.0,yes,8,2021
i5-1145G7E,11,i5,Launched,4,1.50 GHz,1.50 GHz,15.0,yes,8,2020
i5-1145GRE,11,i5,Launched,4,1.50 GHz,1.50 GHz,15.0,yes,8,2020
i5-1135G7,11,i5,Launched,4,2.40 GHz,2.40 GHz,28.0,yes,8,2020
i5-1130G7,11,i5,Launched,4,1.80 GHz,1.80 GHz,15.0,yes,8,2020
i5-1135G7,11,i5,Launched,4,2.40 GHz,2.40 GHz,28.0,yes,8,2020
i5-10505,10,i5,Launched,6,3.20 GHz,3.20 GHz,65.0,yes,12,2021
i5-10500H,10,i5,Launched,6,2.50 GHz,2.50 GHz,45.0,yes,12,2020
i5-10200H,10,i5,Launched,4,2.40 GHz,2.40 GHz,45.0,yes,8,2020
i5-10310U,10,i5,Launched,4,1.70 GHz,1.70 GHz,15.0,yes,6,2020
i5-1038NG7,10,i5,Launched,4,2.00 GHz,2.00 GHz,28.0,yes,6,2020
i5-10400,10,i5,Launched,6,2.90 GHz,2.90 GHz,65.0,yes,12,2020
i5-10600KF,10,i5,Launched,6,4.10 GHz,4.10 GHz,125.0,yes,12,2020
i5-10600,10,i5,Launched,6,3.30 GHz,3.30 GHz,65.0,yes,12,2020
i5-10600K,10,i5,Launched,6,4.10 GHz,4.10 GHz,125.0,yes,12,2020
i5-10500TE,10,i5,Launched,6,2.30 GHz,2.30 GHz,35.0,yes,12,2020
i5-10500E,10,i5,Launched,6,3.10 GHz,3.10 GHz,65.0,yes,12,2020
i5-10600T,10,i5,Launched,6,2.40 GHz,2.40 GHz,35.0,yes,12,2020
i5-10400F,10,i5,Launched,6,2.90 GHz,2.90 GHz,65.0,yes,12,2020
i5-10500,10,i5,Launched,6,3.10 GHz,3.10 GHz,65.0,yes,12,2020
i5-10400T,10,i5,Launched,6,2.00 GHz,2.00 GHz,35.0,yes,12,2020
i5-10500T,10,i5,Launched,6,2.30 GHz,2.30 GHz,35.0,yes,12,2020
i5-10300H,10,i5,Launched,4,2.50 GHz,2.50 GHz,45.0,yes,8,2020
i5-10400H,10,i5,Launched,4,2.60 GHz,2.60 GHz,45.0,yes,8,2020
i5-10310Y,10,i5,Discontinued,4,1.10 GHz,1.10 GHz,7.0,yes,6,2019
i5-10210Y,10,i5,Launched,4,1.00 GHz,1.00 GHz,7.0,yes,6,2019
i5-10210U,10,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2019
i5-1035G4,10,i5,Launched,4,1.10 GHz,1.10 GHz,15.0,yes,6,2019
i5-1035G7,10,i5,Launched,4,1.20 GHz,1.20 GHz,15.0,yes,6,2019
i5-1035G1,10,i5,Launched,4,1.00 GHz,1.00 GHz,15.0,yes,6,2019
i5-1030G7,10,i5,Discontinued,4,800 MHz,800 MHz,9.0,yes,6,2019
i5-1030G4,10,i5,Discontinued,4,700 MHz,700 MHz,9.0,yes,6,2019
i5-9500E,9,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,no,9,2019
i5-9500TE,9,i5,Launched,6,2.20 GHz,2.20 GHz,35.0,no,9,2019
i5-9400H,9,i5,Launched,4,2.50 GHz,2.50 GHz,45.0,yes,8,2019
i5-9300H,9,i5,Launched,4,2.40 GHz,2.40 GHz,45.0,yes,8,2019
i5-9500,9,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,yes,9,2019
i5-9500T,9,i5,Launched,6,2.20 GHz,2.20 GHz,35.0,yes,9,2019
i5-9600T,9,i5,Launched,6,2.30 GHz,2.30 GHz,35.0,yes,9,2019
i5-9500F,9,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,yes,9,2019
i5-9600,9,i5,Launched,6,3.10 GHz,3.10 GHz,65.0,yes,9,2019
i5-9400T,9,i5,Launched,6,1.80 GHz,1.80 GHz,35.0,yes,9,2019
i5-9300HF,9,i5,Launched,4,2.40 GHz,2.40 GHz,45.0,yes,8,2019
i5-9400F,9,i5,Launched,6,2.90 GHz,2.90 GHz,65.0,yes,9,2019
i5-9600KF,9,i5,Launched,6,3.70 GHz,3.70 GHz,95.0,yes,9,2019
i5-9400,9,i5,Discontinued,6,2.90 GHz,2.90 GHz,65.0,yes,9,2019
i5-9600K,9,i5,Launched,6,3.70 GHz,3.70 GHz,95.0,yes,9,2018
i5-8260U,8,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2019
i5-8257U,8,i5,Launched,4,1.40 GHz,1.40 GHz,15.0,yes,6,2019
i5-8365UE,8,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2019
i5-8279U,8,i5,Launched,4,2.40 GHz,2.40 GHz,28.0,yes,6,2019
i5-8365U,8,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2019
i5-8310Y,8,i5,Launched,2,1.60 GHz,1.60 GHz,7.0,yes,4,2019
i5-8210Y,8,i5,Discontinued,2,1.60 GHz,1.60 GHz,7.0,yes,4,2019
i5-8265U,8,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2018
i5-8200Y,8,i5,Launched,2,1.30 GHz,1.30 GHz,5.0,yes,4,2018
i5-8305G,8,i5,Discontinued,4,2.80 GHz,2.80 GHz,65.0,no,6,2018
i5-8259U,8,i5,Launched,4,2.30 GHz,2.30 GHz,28.0,yes,6,2018
i5-8269U,8,i5,Launched,4,2.60 GHz,2.60 GHz,28.0,yes,6,2018
i5-8500,8,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,yes,9,2018
i5-8400,8,i5,Launched,6,2.80 GHz,2.80 GHz,65.0,yes,9,2018
i5-8500B,8,i5,Discontinued,6,3.00 GHz,3.00 GHz,65.0,yes,9,2018
i5-8400B,8,i5,Discontinued,6,2.80 GHz,2.80 GHz,65.0,yes,9,2018
i5-8400H,8,i5,Launched,4,2.50 GHz,2.50 GHz,45.0,yes,8,2018
i5-8300H,8,i5,Launched,4,2.30 GHz,2.30 GHz,45.0,yes,8,2018
i5-8500T,8,i5,Launched,6,2.10 GHz,2.10 GHz,35.0,yes,9,2018
i5-8400T,8,i5,Discontinued,6,1.70 GHz,1.70 GHz,35.0,yes,9,2018
i5-8500,8,i5,Launched,6,3.00 GHz,3.00 GHz,65.0,yes,9,2018
i5-8600T,8,i5,Discontinued,6,2.30 GHz,2.30 GHz,35.0,yes,9,2018
i5-8600,8,i5,Discontinued,6,3.10 GHz,3.10 GHz,65.0,yes,9,2018
i5-8305G,8,i5,Announced,4,2.80 GHz,2.80 GHz,65.0,no,6,2018
i5-8400,8,i5,Discontinued,6,2.80 GHz,2.80 GHz,65.0,yes,9,2017
i5-8600K,8,i5,Discontinued,6,3.60 GHz,3.60 GHz,95.0,yes,9,2017
i5-8350U,8,i5,Launched,4,1.70 GHz,1.70 GHz,15.0,yes,6,2017
i5-8250U,8,i5,Launched,4,1.60 GHz,1.60 GHz,15.0,yes,6,2017
i5-7287U,7,i5,Discontinued,2,3.30 GHz,3.30 GHz,28.0,no,4,2017
i5-7267U,7,i5,Discontinued,2,3.10 GHz,3.10 GHz,28.0,no,4,2017
i5-7440EQ,7,i5,Launched,4,2.90 GHz,2.90 GHz,45.0,no,6,2017
i5-7300U,7,i5,Launched,2,2.60 GHz,2.60 GHz,15.0,yes,3,2017
i5-7Y57,7,i5,Launched,2,1.20 GHz,1.20 GHz,4.5,yes,4,2017
i5-7440HQ,7,i5,Launched,4,2.80 GHz,2.80 GHz,45.0,no,6,2017
i5-7300HQ,7,i5,Launched,4,2.50 GHz,2.50 GHz,45.0,no,6,2017
i5-7400T,7,i5,Discontinued,4,2.40 GHz,2.40 GHz,35.0,yes,6,2017
i5-7600T,7,i5,Discontinued,4,2.80 GHz,2.80 GHz,35.0,yes,6,2017
i5-7600,7,i5,Discontinued,4,3.50 GHz,3.50 GHz,65.0,yes,6,2017
i5-7400,7,i5,Discontinued,4,3.00 GHz,3.00 GHz,65.0,yes,6,2017
i5-7600K,7,i5,Discontinued,4,3.80 GHz,3.80 GHz,91.0,yes,6,2017
i5-7500,7,i5,Launched,4,3.40 GHz,3.40 GHz,65.0,yes,6,2017
i5-7500T,7,i5,Launched,4,2.70 GHz,2.70 GHz,35.0,yes,6,2017
i5-7442EQ,7,i5,Launched,4,2.10 GHz,2.10 GHz,25.0,no,6,2017
i5-7360U,7,i5,Launched,2,2.30 GHz,2.30 GHz,15.0,no,4,2017
i5-7260U,7,i5,Launched,2,2.20 GHz,2.20 GHz,15.0,no,4,2017
i5-7Y54,7,i5,Launched,2,1.20 GHz,1.20 GHz,4.5,yes,4,2016
i5-7200U,7,i5,Launched,2,2.50 GHz,2.50 GHz,15.0,yes,3,2016
i5-6685R,6,i5,Discontinued,4,3.20 GHz,3.20 GHz,65.0,no,6,2016
i5-6585R,6,i5,Discontinued,4,2.80 GHz,2.80 GHz,65.0,no,6,2016
i5-6350HQ,6,i5,Discontinued,4,2.30 GHz,2.30 GHz,45.0,yes,6,2016
i5-6402P,6,i5,Discontinued,4,2.80 GHz,2.80 GHz,65.0,no,6,2015
i5-6442EQ,6,i5,Launched,4,1.90 GHz,1.90 GHz,25.0,yes,6,2015
i5-6440EQ,6,i5,Launched,4,2.70 GHz,2.70 GHz,45.0,yes,6,2015
i5-6500TE,6,i5,Launched,4,2.30 GHz,2.30 GHz,35.0,yes,6,2015
i5-6200U,6,i5,Discontinued,2,2.30 GHz,2.30 GHz,15.0,yes,3,2015
i5-6300U,6,i5,Launched,2,2.40 GHz,2.40 GHz,15.0,yes,3,2015
i5-6300HQ,6,i5,Discontinued,4,2.30 GHz,2.30 GHz,45.0,yes,6,2015
i5-6267U,6,i5,Discontinued,2,2.90 GHz,2.90 GHz,28.0,yes,4,2015
i5-6287U,6,i5,Discontinued,2,3.10 GHz,3.10 GHz,28.0,yes,4,2015
i5-6260U,6,i5,Discontinued,2,1.80 GHz,1.80 GHz,15.0,yes,4,2015
i5-6360U,6,i5,Discontinued,2,2.00 GHz,2.00 GHz,15.0,yes,4,2015
i5-6440HQ,6,i5,Discontinued,4,2.60 GHz,2.60 GHz,45.0,yes,6,2015
i5-6500T,6,i5,Discontinued,4,2.50 GHz,2.50 GHz,35.0,yes,6,2015
i5-6600T,6,i5,Discontinued,4,2.70 GHz,2.70 GHz,35.0,yes,6,2015
i5-6600,6,i5,Discontinued,4,3.30 GHz,3.30 GHz,65.0,yes,6,2015
i5-6400T,6,i5,Discontinued,4,2.20 GHz,2.20 GHz,35.0,yes,6,2015
i5-6400,6,i5,Discontinued,4,2.70 GHz,2.70 GHz,65.0,yes,6,2015
i5-6500,6,i5,Launched,4,3.20 GHz,3.20 GHz,65.0,yes,6,2015
i5-6600K,6,i5,Discontinued,4,3.50 GHz,3.50 GHz,91.0,yes,6,2015
i5-5675C,5,i5,Discontinued,4,3.10 GHz,3.10 GHz,65.0,no,4,2015
i5-5675R,5,i5,Discontinued,4,3.10 GHz,3.10 GHz,65.0,no,4,2015
i5-5575R,5,i5,Discontinued,4,2.80 GHz,2.80 GHz,65.0,no,4,2015
i5-5350H,5,i5,Discontinued,2,3.10 GHz,3.10 GHz,47.0,no,4,2015
i5-5257U,5,i5,Launched,2,2.70 GHz,2.70 GHz,28.0,no,3,2015
i5-5300U,5,i5,Discontinued,2,2.30 GHz,2.30 GHz,15.0,no,3,2015
i5-5200U,5,i5,Discontinued,2,2.20 GHz,2.20 GHz,15.0,no,3,2015
i5-5350U,5,i5,Launched,2,1.80 GHz,1.80 GHz,15.0,no,3,2015
i5-5287U,5,i5,Discontinued,2,2.90 GHz,2.90 GHz,28.0,no,3,2015
i5-5250U,5,i5,Discontinued,2,1.60 GHz,1.60 GHz,15.0,no,3,2015
i5-4278U,4,i5,Discontinued,2,2.60 GHz,2.60 GHz,28.0,no,3,2014
i5-4308U,4,i5,Discontinued,2,2.80 GHz,2.80 GHz,28.0,no,3,2014
i5-4210H,4,i5,Discontinued,2,2.90 GHz,2.90 GHz,47.0,yes,3,2014
i5-4690K,4,i5,Discontinued,4,3.50 GHz,3.50 GHz,88.0,yes,6,2014
i5-4590,4,i5,Discontinued,4,3.30 GHz,3.30 GHz,84.0,yes,6,2014
i5-4460S,4,i5,Discontinued,4,2.90 GHz,2.90 GHz,65.0,yes,6,2014
i5-4460,4,i5,Discontinued,4,3.20 GHz,3.20 GHz,84.0,yes,6,2014
i5-4590S,4,i5,Launched,4,3.00 GHz,3.00 GHz,65.0,yes,6,2014
i5-4690T,4,i5,Discontinued,4,2.50 GHz,2.50 GHz,45.0,yes,6,2014
i5-4690S,4,i5,Discontinued,4,3.20 GHz,3.20 GHz,65.0,yes,6,2014
i5-4690,4,i5,Discontinued,4,3.50 GHz,3.50 GHz,84.0,yes,6,2014
i5-4590T,4,i5,Launched,4,2.00 GHz,2.00 GHz,35.0,yes,6,2014
i5-4460T,4,i5,Discontinued,4,1.90 GHz,1.90 GHz,35.0,yes,6,2014
i5-4260U,4,i5,Discontinued,2,1.40 GHz,1.40 GHz,15.0,yes,3,2014
i5-4410E,4,i5,Launched,2,2.90 GHz,2.90 GHz,37.0,yes,3,2014
i5-4210M,4,i5,Discontinued,2,2.60 GHz,2.60 GHz,37.0,yes,3,2014
i5-4210U,4,i5,Discontinued,2,1.70 GHz,1.70 GHz,15.0,yes,3,2014
i5-4220Y,4,i5,Discontinued,2,1.60 GHz,1.60 GHz,11.5,no,3,2014
i5-4422E,4,i5,Launched,2,1.80 GHz,1.80 GHz,25.0,yes,3,2014
i5-4402EC,4,i5,Launched,2,2.50 GHz,2.50 GHz,27.0,yes,4,2014
i5-4310M,4,i5,Discontinued,2,2.70 GHz,2.70 GHz,37.0,yes,3,2014
i5-4340M,4,i5,Discontinued,2,2.90 GHz,2.90 GHz,37.0,yes,3,2014
i5-4310U,4,i5,Discontinued,2,2.00 GHz,2.00 GHz,15.0,yes,3,2014
i5-4360U,4,i5,Discontinued,2,1.50 GHz,1.50 GHz,15.0,yes,3,2014
i5-4440,4,i5,Discontinued,4,3.10 GHz,3.10 GHz,84.0,yes,6,2013
i5-4440S,4,i5,Discontinued,4,2.80 GHz,2.80 GHz,65.0,yes,6,2013
i5-4200H,4,i5,Discontinued,2,2.80 GHz,2.80 GHz,47.0,yes,3,2013
i5-4400E,4,i5,Launched,2,2.70 GHz,2.70 GHz,37.0,yes,3,2013
i5-4402E,4,i5,Launched,2,1.60 GHz,1.60 GHz,25.0,yes,3,2013
i5-4300U,4,i5,Launched,2,1.90 GHz,1.90 GHz,15.0,yes,3,2013
i5-4300M,4,i5,Discontinued,2,2.60 GHz,2.60 GHz,37.0,yes,3,2013
i5-4200M,4,i5,Discontinued,2,2.50 GHz,2.50 GHz,37.0,yes,3,2013
i5-4202Y,4,i5,Discontinued,2,1.60 GHz,1.60 GHz,11.5,yes,3,2013
i5-4210Y,4,i5,Discontinued,2,1.50 GHz,1.50 GHz,11.5,yes,3,2013
i5-4300Y,4,i5,Discontinued,2,1.60 GHz,1.60 GHz,11.5,yes,3,2013
i5-4302Y,4,i5,Discontinued,2,1.60 GHz,1.60 GHz,11.5,yes,3,2013
i5-4330M,4,i5,Discontinued,2,2.80 GHz,2.80 GHz,37.0,yes,3,2013
i5-4570R,4,i5,Discontinued,4,2.70 GHz,2.70 GHz,65.0,yes,4,2013
i5-4670R,4,i5,Discontinued,4,3.00 GHz,3.00 GHz,65.0,yes,4,2013
i5-4288U,4,i5,Discontinued,2,2.60 GHz,2.60 GHz,28.0,yes,3,2013
i5-4258U,4,i5,Discontinued,2,2.40 GHz,2.40 GHz,28.0,yes,3,2013
i5-4200Y,4,i5,Discontinued,2,1.40 GHz,1.40 GHz,11.5,yes,3,2013
i5-4350U,4,i5,Discontinued,2,1.40 GHz,1.40 GHz,15.0,yes,3,2013
i5-4250U,4,i5,Discontinued,2,1.30 GHz,1.30 GHz,15.0,yes,3,2013
i5-4200U,4,i5,Discontinued,2,1.60 GHz,1.60 GHz,15.0,yes,3,2013
i5-4430S,4,i5,Discontinued,4,2.70 GHz,2.70 GHz,65.0,yes,6,2013
i5-4570,4,i5,Discontinued,4,3.20 GHz,3.20 GHz,84.0,yes,6,2013
i5-4570S,4,i5,Launched,4,2.90 GHz,2.90 GHz,65.0,yes,6,2013
i5-4570T,4,i5,Discontinued,2,2.90 GHz,2.90 GHz,35.0,yes,4,2013
i5-4670,4,i5,Discontinued,4,3.40 GHz,3.40 GHz,84.0,yes,6,2013
i5-4670K,4,i5,Discontinued,4,3.40 GHz,3.40 GHz,84.0,yes,6,2013
i5-4670S,4,i5,Discontinued,4,3.10 GHz,3.10 GHz,65.0,yes,6,2013
i5-4670T,4,i5,Discontinued,4,2.30 GHz,2.30 GHz,45.0,yes,6,2013
i5-4570TE,4,i5,Launched,2,2.70 GHz,2.70 GHz,35.0,yes,4,2013
i5-4430,4,i5,Discontinued,4,3.00 GHz,3.00 GHz,84.0,yes,6,2013
i7-13700E,13,i7,Launched,16,1.90 GHz,1.90 GHz,65.0,yes,30,2023
i7-1370PE,13,i7,Launched,14,1.90 GHz,1.90 GHz,28.0,yes,24,2023
i7-1365UE,13,i7,Launched,10,1.70 GHz,1.70 GHz,15.0,yes,12,2023
i7-13700HX,13,i7,Launched,16,3.70 GHz,3.70 GHz,55.0,yes,30,2023
i7-13700H,13,i7,Launched,14,3.70 GHz,3.70 GHz,45.0,yes,24,2023
i7-13800H,13,i7,Launched,14,4.00 GHz,4.00 GHz,45.0,yes,24,2023
i7-13850HX,13,i7,Launched,20,3.80 GHz,3.80 GHz,55.0,yes,30,2023
