number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i7-6650U,6,i7,Discontinued,2,2.20 GHz,2.20 GHz,15.0,yes,4,2015
i7-6700,6,i7,Launched,4,3.40 GHz,3.40 GHz,65.0,yes,8,2015
i7-6700T,6,i7,Discontinued,4,2.80 GHz,2.80 GHz,35.0,yes,8,2015
i7-6700K,6,i7,Discontinued,4,4.00 GHz,4.00 GHz,91.0,yes,8,2015
i7-6567U,6,i7,Discontinued,2,3.30 GHz,3.30 GHz,28.0,yes,4,2015
i7-5750HQ,5,i7,Discontinued,4,2.50 GHz,2.50 GHz,47.0,no,6,2015
i7-5700HQ,5,i7,Discontinued,4,2.70 GHz,2.70 GHz,47.0,no,6,2015
i7-5775R,5,i7,Discontinued,4,3.30 GHz,3.30 GHz,65.0,no,6,2015
i7-5850EQ,5,i7,Launched,4,2.70 GHz,2.70 GHz,47.0,yes,6,2015
i7-5700EQ,5,i7,Launched,4,2.60 GHz,2.60 GHz,47.0,yes,6,2015
i7-5775C,5,i7,Discontinued,4,3.30 GHz,3.30 GHz,65.0,no,6,2015
i7-5950HQ,5,i7,Discontinued,4,2.90 GHz,2.90 GHz,47.0,no,6,2015
i7-5850HQ,5,i7,Discontinued,4,2.70 GHz,2.70 GHz,47.0,no,6,2015
i7-5600U,5,i7,Discontinued,2,2.60 GHz,2.60 GHz,15.0,no,4,2015
i7-5500U,5,i7,Discontinued,2,2.40 GHz,2.40 GHz,15.0,no,4,2015
i7-5650U,5,i7,Launched,2,2.20 GHz,2.20 GHz,15.0,no,4,2015
i7-5557U,5,i7,Discontinued,2,3.10 GHz,3.10 GHz,28.0,no,4,2015
i7-5550U,5,i7,Discontinued,2,2.00 GHz,2.00 GHz,15.0,yes,4,2015
i7-4722HQ,4,i7,Discontinued,4,2.40 GHz,2.40 GHz,37.0,no,6,2015
i7-4720HQ,4,i7,Discontinued,4,2.60 GHz,2.60 GHz,47.0,no,6,2015
i7-4870HQ,4,i7,Discontinued,4,2.50 GHz,2.50 GHz,47.0,no,6,2014
i7-4578U,4,i7,Discontinued,2,3.00 GHz,3.00 GHz,28.0,no,4,2014
i7-4770HQ,4,i7,Discontinued,4,2.20 GHz,2.20 GHz,47.0,no,6,2014
i7-4980HQ,4,i7,Discontinued,4,2.80 GHz,2.80 GHz,47.0,no,6,2014
i7-4790K,4,i7,Discontinued,4,4.00 GHz,4.00 GHz,88.0,yes,8,2014
i7-4785T,4,i7,Discontinued,4,2.20 GHz,2.20 GHz,35.0,yes,8,2014
i7-4790T,4,i7,Discontinued,4,2.70 GHz,2.70 GHz,45.0,yes,8,2014
i7-4790S,4,i7,Launched,4,3.20 GHz,3.20 GHz,65.0,yes,8,2014
i7-4790,4,i7,Discontinued,4,3.60 GHz,3.60 GHz,84.0,yes,8,2014
